,id,title,name,institution_id,create_time,update_time,view_count,author_id
0,574.0,Análisis Funcional,Pontificia Universidad Católica de Chile,1.0,2012-08-18,2016-10-26,1869.0,4605.0
1,575.0,Física General ,Pontificia Universidad Católica de Chile,1.0,2012-08-18,2016-10-26,1744.0,4605.0
2,576.0,Ecuaciones Diferenciales ,Pontificia Universidad Católica de Chile,1.0,2012-08-18,2016-10-26,7150.0,4605.0
3,578.0,Seminario de Investigación en Educación Media,Pontificia Universidad Católica de Chile,1.0,2012-08-18,2016-10-26,273.0,4605.0
4,580.0,Charlas Motivacionales Grupo Mu,Pontificia Universidad Católica de Chile,1.0,2012-08-23,2016-10-26,2900.0,4605.0
5,585.0,Desafíos en la creación de empresas ,Pontificia Universidad Católica de Chile,1.0,2012-09-13,2016-10-26,489.0,4605.0
6,551.0,Álgebra y Geometría para Física y Astronomía ,Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,3387.0,4605.0
7,552.0,Álgebra Lineal para Ingeniería ,Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,10207.0,4605.0
8,553.0,Análisis Real ,Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,3819.0,4605.0
9,554.0,Cálculo III para Ingeniería ,Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,5408.0,4605.0
10,555.0,Diseño de Circuitos Integrados Analógicos [[en producción]],Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,408.0,4605.0
11,556.0,Geometría para Educación ,Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,976.0,4605.0
12,557.0,Probabilidad y Estadística para Ingeniería,Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,105958.0,4605.0
13,558.0,Razonamiento Cuantitativo ,Pontificia Universidad Católica de Chile,1.0,2012-03-15,2016-10-26,681.0,4605.0
14,559.0,Introducción al Cálculo para Ingeniería ,Pontificia Universidad Católica de Chile,1.0,2012-03-17,2016-10-26,2196.0,4605.0
15,561.0,- Cómo Utilizar Classroom.tv,Pontificia Universidad Católica de Chile,1.0,2012-04-03,2016-10-26,3185.0,4605.0
16,563.0,Dirección y Liderazgo Pedagógico,Pontificia Universidad Católica de Chile,1.0,2012-04-12,2016-10-26,486.0,4605.0
17,568.0,Cálculo I ,Pontificia Universidad Católica de Chile,1.0,2012-05-12,2016-10-26,3923.0,4605.0
18,423.0,Conceptos Críticos para Introduccion al Calculo,Pontificia Universidad Católica de Chile,1.0,2011-03-18,2016-10-26,309.0,4605.0
19,539.0,Cálculo II para Ingeniería,Pontificia Universidad Católica de Chile,1.0,2012-01-26,2016-10-26,12877.0,4605.0
20,424.0,How to use Gmail,Google,2.0,2011-09-10,2016-10-26,776.0,5040.0
21,425.0,How to use Google Calendar,Google,2.0,2011-09-10,2016-10-26,592.0,5040.0
22,426.0,How to use the Google Apps Control Panel,Google,2.0,2011-09-10,2016-10-26,671.0,5040.0
23,427.0,Product overviews & tours,Google,2.0,2011-09-10,2016-10-26,788.0,5040.0
24,428.0,Testimonials from schools and universities,Google,2.0,2011-09-10,2016-10-26,690.0,5040.0
25,429.0,Testimonials from businesses,Google,2.0,2011-09-10,2016-10-26,908.0,5040.0
26,430.0,Testimonials from non-profit organizations,Google,2.0,2011-09-10,2016-10-26,521.0,5040.0
27,431.0,How to use Google Docs,Google,2.0,2011-09-10,2016-10-26,813.0,5040.0
28,432.0,Partners discuss customer case studies,Google,2.0,2011-09-10,2016-10-26,606.0,5040.0
29,433.0,How to use Google Sites,Google,2.0,2011-09-10,2016-10-26,709.0,5040.0
30,435.0,Testimonials from government agencies,Google,2.0,2011-09-10,2016-10-26,601.0,5040.0
31,438.0,Google Innovators Webinar Series,Google,2.0,2011-09-10,2016-10-26,783.0,5040.0
32,442.0,Testimonials from students,Google,2.0,2011-09-10,2016-10-26,538.0,5040.0
33,444.0,Demos from 3/24 Campfire One Participants,Google,2.0,2011-09-10,2016-10-26,653.0,5040.0
34,446.0,Google Atmosphere Conference,Google,2.0,2011-09-10,2016-10-26,852.0,5040.0
35,447.0,Videos for Google Apps Enterprise Executive Administrators,Google,2.0,2011-09-10,2016-10-26,1106.0,5040.0
36,449.0,More applications for Google Apps,Google,2.0,2011-09-10,2016-10-26,1068.0,5040.0
37,450.0,Google Atmosphere 2010 Europe,Google,2.0,2011-09-10,2016-10-26,1019.0,5040.0
38,452.0,Quick Tips,Google,2.0,2011-09-10,2016-10-26,1001.0,5040.0
39,453.0,GApps Docs and Training Videos,Google,2.0,2011-09-10,2016-10-26,1256.0,5040.0
40,464.0,Google Apps for Education,Google,2.0,2011-09-10,2016-10-26,1118.0,5040.0
41,465.0,Google Apps for Education webinars,Google,2.0,2011-09-10,2016-10-26,1070.0,5040.0
42,466.0,Google I/O 2011,Google,2.0,2011-09-21,2016-10-26,924.0,5040.0
43,467.0,Google Python Class,Google,2.0,2011-09-23,2016-10-26,32832.0,81.0
44,417.0,Cluster Computing and MapReduce,Google,2.0,2010-10-26,2016-10-26,904.0,81.0
45,436.0,Google Message Security,Google,2.0,2011-09-10,2016-10-26,588.0,5040.0
46,437.0,Google Message Discovery,Google,2.0,2011-09-10,2016-10-26,570.0,5040.0
47,443.0,Official Google Apps Learning - Email,Google,2.0,2011-09-10,2016-10-26,605.0,5040.0
48,448.0,Channel homepage,Google,2.0,2011-09-10,2016-10-26,1104.0,5040.0
49,451.0,Innovation webinars,Google,2.0,2011-09-10,2016-10-26,1099.0,5040.0
50,454.0,Gmail - Getting Started,Google,2.0,2011-09-10,2016-10-26,1190.0,5040.0
51,455.0,Gmail - Quick Tips,Google,2.0,2011-09-10,2016-10-26,980.0,5040.0
52,456.0,Google Calendar - Getting Started,Google,2.0,2011-09-10,2016-10-26,1057.0,5040.0
53,457.0,Google Calendar - Become an Expert,Google,2.0,2011-09-10,2016-10-26,1035.0,5040.0
54,458.0,Google Calendar - Quick Tips,Google,2.0,2011-09-10,2016-10-26,919.0,5040.0
55,459.0,Google Sites - Getting Started,Google,2.0,2011-09-10,2016-10-26,944.0,5040.0
56,460.0,Google Sites - Become an Expert,Google,2.0,2011-09-10,2016-10-26,1021.0,5040.0
57,461.0,Google Docs - Getting Started,Google,2.0,2011-09-10,2016-10-26,1134.0,5040.0
58,462.0,Google Docs - Become an Expert,Google,2.0,2011-09-10,2016-10-26,1115.0,5040.0
59,463.0,Gmail - Become an Expert,Google,2.0,2011-09-10,2016-10-26,963.0,5040.0
60,1640.0,Bitcoin,Khan Academy,4.0,2013-11-22,2016-10-26,23.0,18999.0
61,375.0,Algebra,Khan Academy,4.0,2010-10-10,2016-10-26,800.0,80.0
62,376.0,Algebra I Worked Examples,Khan Academy,4.0,2010-10-10,2016-10-26,796.0,80.0
63,377.0,Arithmetic,Khan Academy,4.0,2010-10-10,2016-10-26,636.0,80.0
64,378.0,Banking and Money,Khan Academy,4.0,2010-10-10,2016-10-26,969.0,80.0
65,379.0,Biology,Khan Academy,4.0,2010-10-10,2016-10-26,918.0,80.0
66,380.0,Brain Teasers,Khan Academy,4.0,2010-10-10,2016-10-26,558.0,80.0
67,381.0,CAHSEE Example Problems,Khan Academy,4.0,2010-10-10,2016-10-26,631.0,80.0
68,382.0,Calculus,Khan Academy,4.0,2010-10-10,2016-10-26,1166.0,80.0
69,383.0,California Standards Test: Algebra I,Khan Academy,4.0,2010-10-10,2016-10-26,518.0,80.0
70,384.0,California Standards Test: Algebra II,Khan Academy,4.0,2010-10-10,2016-10-26,546.0,80.0
71,385.0,California Standards Test: Geometry,Khan Academy,4.0,2010-10-10,2016-10-26,753.0,80.0
72,386.0,Chemistry,Khan Academy,4.0,2010-10-10,2016-10-26,818.0,80.0
73,387.0,ck12.org Algebra 1 Examples,Khan Academy,4.0,2010-10-10,2016-10-26,823.0,80.0
74,388.0,Credit Crisis,Khan Academy,4.0,2010-10-10,2016-10-26,681.0,80.0
75,389.0,Current Economics,Khan Academy,4.0,2010-10-10,2016-10-26,701.0,80.0
76,390.0,Developmental Math,Khan Academy,4.0,2010-10-10,2016-10-26,665.0,80.0
77,391.0,Differential Equations,Khan Academy,4.0,2010-10-10,2016-10-26,593.0,80.0
78,392.0,Finance,Khan Academy,4.0,2010-10-10,2016-10-26,1312.0,80.0
79,393.0,Geithner Plan,Khan Academy,4.0,2010-10-10,2016-10-26,616.0,80.0
80,394.0,Geometry,Khan Academy,4.0,2010-10-10,2016-10-26,519.0,80.0
81,395.0,GMAT Data Sufficiency,Khan Academy,4.0,2010-10-10,2016-10-26,597.0,80.0
82,396.0,GMAT: Problem Solving,Khan Academy,4.0,2010-10-10,2016-10-26,631.0,80.0
83,397.0,History,Khan Academy,4.0,2010-10-10,2016-10-26,1120.0,80.0
84,398.0,Khan Academy-Related Talks and Interviews,Khan Academy,4.0,2010-10-10,2016-10-26,873.0,80.0
85,399.0,Linear Algebra,Khan Academy,4.0,2010-10-10,2016-10-26,1287.0,80.0
86,400.0,MA Tests for Education Licensure (MTEL) -Pre-Alg,Khan Academy,4.0,2010-10-10,2016-10-26,912.0,80.0
87,401.0,My Top Videos,Khan Academy,4.0,2010-10-10,2016-10-26,669.0,80.0
88,403.0,Old Algebra,Khan Academy,4.0,2010-10-10,2016-10-26,683.0,80.0
89,404.0,Old Algebra Videos,Khan Academy,4.0,2010-10-10,2016-10-26,634.0,80.0
90,405.0,Organic Chemistry,Khan Academy,4.0,2010-10-10,2016-10-26,1402.0,80.0
91,406.0,Paulson Bailout,Khan Academy,4.0,2010-10-10,2016-10-26,695.0,80.0
